商品名,説明,方向,約定日,対象期間(自),対象期間(至),売り入札量(MW),約定価格(円/kWh),約定量(MW)
26W23T12,6月1週北本(順),北海道 -> 東北,2026/04/22,2026/05/30,2026/06/05,380.0,0.01,200.0
26W23T21,6月1週北本[逆],東北 -> 北海道,2026/04/22,2026/05/30,2026/06/05,300.0,0.01,7.8
26W23T23,6月1週東北東京(順),東北 -> 東京,2026/04/22,2026/05/30,2026/06/05,2570.0,1.60,2570.0
26W23T34,6月1週ＦＣ(順),東京 -> 中部,2026/04/22,2026/05/30,2026/06/05,1200.0,-,-
26W23T43,6月1週ＦＣ[逆],中部 -> 東京,2026/04/22,2026/05/30,2026/06/05,1200.0,0.75,1200.0
26W23T76,6月1週関中[逆],中国 -> 関西,2026/04/22,2026/05/30,2026/06/05,2780.0,0.18,2780.0
26W23T86,6月1週阿南紀北[逆],四国 -> 関西,2026/04/22,2026/05/30,2026/06/05,390.0,2.50,390.0
26W23T87,6月1週本四[逆],四国 -> 中国,2026/04/22,2026/05/30,2026/06/05,1200.0,2.23,1200.0
26W23T97,6月1週関門[逆],九州 -> 中国,2026/04/22,2026/05/30,2026/06/05,1530.0,0.34,1530.0
26W24T12,6月2週北本(順),北海道 -> 東北,2026/04/22,2026/06/06,2026/06/12,280.0,0.01,200.0
26W24T21,6月2週北本[逆],東北 -> 北海道,2026/04/22,2026/06/06,2026/06/12,0.0,-,-
26W24T23,6月2週東北東京(順),東北 -> 東京,2026/04/22,2026/06/06,2026/06/12,1570.0,3.10,1570.0
26W24T34,6月2週ＦＣ(順),東京 -> 中部,2026/04/22,2026/06/06,2026/06/12,1200.0,-,-
26W24T43,6月2週ＦＣ[逆],中部 -> 東京,2026/04/22,2026/06/06,2026/06/12,600.0,1.27,600.0
26W24T76,6月2週関中[逆],中国 -> 関西,2026/04/22,2026/06/06,2026/06/12,2780.0,0.18,2780.0
26W24T86,6月2週阿南紀北[逆],四国 -> 関西,2026/04/22,2026/06/06,2026/06/12,390.0,3.02,390.0
26W24T87,6月2週本四[逆],四国 -> 中国,2026/04/22,2026/06/06,2026/06/12,1200.0,2.41,1200.0
26W24T97,6月2週関門[逆],九州 -> 中国,2026/04/22,2026/06/06,2026/06/12,1580.0,0.70,1580.0
26W25T12,6月3週北本(順),北海道 -> 東北,2026/04/22,2026/06/13,2026/06/19,280.0,0.01,100.0
26W25T21,6月3週北本[逆],東北 -> 北海道,2026/04/22,2026/06/13,2026/06/19,0.0,-,-
26W25T23,6月3週東北東京(順),東北 -> 東京,2026/04/22,2026/06/13,2026/06/19,1570.0,3.26,1570.0
26W25T34,6月3週ＦＣ(順),東京 -> 中部,2026/04/22,2026/06/13,2026/06/19,1200.0,-,-
26W25T43,6月3週ＦＣ[逆],中部 -> 東京,2026/04/22,2026/06/13,2026/06/19,1200.0,1.03,1200.0
26W25T76,6月3週関中[逆],中国 -> 関西,2026/04/22,2026/06/13,2026/06/19,3290.0,0.18,3290.0
26W25T86,6月3週阿南紀北[逆],四国 -> 関西,2026/04/22,2026/06/13,2026/06/19,390.0,3.14,390.0
26W25T87,6月3週本四[逆],四国 -> 中国,2026/04/22,2026/06/13,2026/06/19,1200.0,3.00,1200.0
26W25T97,6月3週関門[逆],九州 -> 中国,2026/04/22,2026/06/13,2026/06/19,1580.0,0.73,1580.0
26W26T12,6月4週北本(順),北海道 -> 東北,2026/04/22,2026/06/20,2026/06/26,280.0,0.01,100.0
26W26T21,6月4週北本[逆],東北 -> 北海道,2026/04/22,2026/06/20,2026/06/26,0.0,-,-
26W26T23,6月4週東北東京(順),東北 -> 東京,2026/04/22,2026/06/20,2026/06/26,1570.0,3.62,1570.0
26W26T34,6月4週ＦＣ(順),東京 -> 中部,2026/04/22,2026/06/20,2026/06/26,1200.0,-,-
26W26T43,6月4週ＦＣ[逆],中部 -> 東京,2026/04/22,2026/06/20,2026/06/26,1160.0,1.03,1160.0
26W26T76,6月4週関中[逆],中国 -> 関西,2026/04/22,2026/06/20,2026/06/26,3290.0,0.18,3290.0
26W26T86,6月4週阿南紀北[逆],四国 -> 関西,2026/04/22,2026/06/20,2026/06/26,390.0,3.28,390.0
26W26T87,6月4週本四[逆],四国 -> 中国,2026/04/22,2026/06/20,2026/06/26,1200.0,3.35,1200.0
26W26T97,6月4週関門[逆],九州 -> 中国,2026/04/22,2026/06/20,2026/06/26,1580.0,0.81,1580.0
